# word	space-separated readings. Generated by scripts/gen_pinyin_tables.py, do not edit. Only polyphone words that occur in a title.
伽利略	jia li lue
拍卖行	pai mai hang
摇滚乐	yao gun yue
畜牧业	xu mu ye
藏红花	zang hong hua
补给线	bu ji xian
迫击炮	pai ji pao
乐器	yue qi
乐师	yue shi
乐队	yue dui
佛寺	fo si
佛珠	fo zhu
卜辞	bu ci
商行	shang hang
外行	wai hang
拱券	gong xuan
畜牧	xu mu
番茄	fan qie
白术	bai zhu
礼乐	li yue
空调	kong tiao
莎草	suo cao
行业	hang ye
补给	bu ji
角斗	jue dou
调控	tiao kong
调料	tiao liao
迁都	qian du
迫击	pai ji
都市	du shi
重启	chong qi
重建	chong jian
银行	yin hang
长城	chang cheng
长生	chang sheng
长矛	chang mao
音乐	yin yue
骠骑	piao qi
