# Wiki article overrides. Fill in the 3rd column, then re-run:  Main wiki  (then changelog + page).
# Format (TAB-separated):  language <TAB> tag <TAB> value
#   value = exact Wikipedia article title  (e.g. 阿拉伯帝国)  OR  a full URL  (e.g. https://zh.wikipedia.org/wiki/阿拉伯帝国)
# The 3rd column below is the game name that FAILED to auto-match — REPLACE it with the correct title/URL.
# To skip an entry (e.g. the HD_CODIFIER_* placeholders, which are not real people): delete the line or clear its 3rd column.
#   value = SKIP  -> delete any cached file, fall back to the game's own civilopedia history
#   value = PIN   -> the cached file is hand-maintained; never fetch or overwrite it (see 中国 at the bottom)
# Format examples:
#   zh_Hans_CN	CIVILIZATION_MACEDON	马其顿王国
#   zh_Hans_CN	LEADER_PHILIP_II	腓力二世 (西班牙)
# (both of the above were commented out here and marked "already fetched" — they never were,
#  so both entries silently used the game's own text until they were added as real rows below.)
zh_Hans_CN	CIVILIZATION_ARABIA	https://zh.wikipedia.org/wiki/阿拉伯帝国
zh_Hans_CN	CIVILIZATION_KOREA	https://zh.wikipedia.org/wiki/%E6%9C%9D%E9%B2%9C%E7%8E%8B%E6%9C%9D
zh_Hans_CN	LEADER_CHANDRAGUPTA	https://zh.wikipedia.org/wiki/%E6%97%83%E9%99%80%E7%BD%97%E7%AC%88%E5%A4%9A_(%E5%AD%94%E9%9B%80%E7%8E%8B%E6%9C%9D)
zh_Hans_CN	LEADER_THEODORA	https://zh.wikipedia.org/wiki/%E7%8B%84%E5%A5%A5%E5%A4%9A%E6%8B%89%E7%9A%87%E5%90%8E_(%E6%9F%A5%E5%A3%AB%E4%B8%81%E5%B0%BC%E4%B8%80%E4%B8%96)
zh_Hans_CN	LEADER_PETER_GREAT	https://zh.wikipedia.org/wiki/%E5%BD%BC%E5%BE%97%E5%A4%A7%E5%B8%9D
zh_Hans_CN	LEADER_LADY_TRIEU	https://zh.wikipedia.org/wiki/%E8%B5%B5%E5%A6%AA
zh_Hans_CN	LEADER_PEDRO	https://zh.wikipedia.org/wiki/%E4%BD%A9%E5%BE%B7%E7%BD%97%E4%BA%8C%E4%B8%96_(%E5%B7%B4%E8%A5%BF)
# LI_TANG_HD hand-placed via query API (REST summary 500s on 李唐 (畫家)):
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_LI_TANG_HD	
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_LI_YAN_NIAN_HD	李延年 (漢朝)
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JANG_SEUNG_EOP	https://zh.wikipedia.org/wiki/%E5%BC%A0%E6%89%BF%E4%B8%9A_(%E6%9C%9D%E9%B2%9C)
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUDIRMAN	https://zh.wikipedia.org/wiki/%E8%8B%8F%E8%BF%AA%E6%9B%BC%E5%B0%86%E5%86%9B
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_PHANTA_CHEN_LIN	陳琳 (東漢)
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_NARINO	https://zh.wikipedia.org/wiki/%E5%AE%89%E4%B8%9C%E5%B0%BC%E5%A5%A5%C2%B7%E7%BA%B3%E9%87%8C%E5%B0%BC%E5%A5%A5
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUN_TZU	孫武
zh_Hans_CN	BUILDING_SUK_WAT_ARUN	黎明寺
zh_Hans_CN	NAT_WONDER_CL_COLLEGE	
zh_Hans_CN	NAT_WONDER_CL_CITADEL	
en_US	CIVILIZATION_ZULU	https://en.wikipedia.org/wiki/Zulu_Kingdom
en_US	CIVILIZATION_GEORGIA	https://en.wikipedia.org/wiki/Georgia_(country)
en_US	CIVILIZATION_MAYA	https://en.wikipedia.org/wiki/Maya_civilization
en_US	LEADER_TAMAR	https://en.wikipedia.org/wiki/Tamar_I
en_US	LEADER_KUBLAI_KHAN_CHINA	https://en.wikipedia.org/wiki/Kublai_Khan
en_US	LEADER_THEODORA	https://en.wikipedia.org/wiki/Theodora_(wife_of_Justinian_I)
en_US	LEADER_PETER_GREAT	https://en.wikipedia.org/wiki/Peter_the_Great
en_US	LEADER_MONTEZUMA	https://en.wikipedia.org/wiki/Moctezuma_I
